"term","estimate","std.error","statistic","p.value"
"(Intercept)",0.321,1.812,0.177,0.859
"CW3_COHORT2",-0.208,0.275,-0.757,0.449
"CW3_COHORT3",-0.639,0.318,-2.007,0.045
"CW3_COHORT4",-1.606,0.676,-2.376,0.018
"CW3_COHORT5",0.022,0.284,0.077,0.939
"PSEX2",0.324,0.191,1.697,0.09
"CW3_COVID_HOSPAD2",-1.378,0.354,-3.891,0
"CW3_COVNEWILL2",-2.35,0.303,-7.745,0
"CW3_COVNEWILLMissing",-0.54,1.723,-0.313,0.754
"CW3_BEENVAC2",0.183,0.353,0.519,0.604
"CW3_BEENVAC3",-0.461,0.788,-0.585,0.559
"CW3_BEENVACMissing",-0.348,0.214,-1.627,0.104
"GHQ2",0.191,0.38,0.502,0.615
"GHQ3",0.355,0.399,0.889,0.374
"GHQ4",1.049,0.442,2.374,0.018
"GHQ5",0.899,0.587,1.531,0.126
"PMED2",-0.244,0.194,-1.257,0.209
"PMEDMissing",-14.986,6522.639,-0.002,0.998
"HHNUM",0.003,0.066,0.048,0.962
"CW3_ECONACTIVITYB22",0.642,0.733,0.875,0.381
"CW3_ECONACTIVITYB23",-14.367,1936.424,-0.007,0.994
"CW3_ECONACTIVITYB25",0.393,0.986,0.399,0.69
"CW3_ECONACTIVITYB26",-1.253,1.548,-0.809,0.418
"CW3_ECONACTIVITYB27",0.271,0.962,0.282,0.778
"CW3_ECONACTIVITYB28",0.523,1.007,0.519,0.604
"CW3_ECONACTIVITYB29",-1.877,0.947,-1.981,0.048
"CW3_ECONACTIVITYB210",-27.525,1605.2,-0.017,0.986
"CW3_ECONACTIVITYB2Missing",0.199,0.358,0.555,0.579
"GHQPRECOVID_pre2",0.098,0.303,0.324,0.746
"GHQPRECOVID_pre3",-0.046,0.332,-0.137,0.891
"GHQPRECOVID_pre4",-0.203,0.398,-0.51,0.61
"GHQPRECOVID_pre5",0.576,0.495,1.162,0.245
"LLI_17_pre2",0.178,0.196,0.905,0.366
"LLI_17_preMissing",0.805,0.711,1.132,0.258
"OUTDOORS_4_pre2",-0.088,0.413,-0.214,0.831
"FINANCIALMANB_pre2",-0.144,0.195,-0.739,0.46
"FINANCIALMANB_pre3",-0.037,0.277,-0.133,0.894
"FINANCIALMANB_pre4",0.134,0.529,0.254,0.799
"FINANCIALMANB_pre5",0.115,1.001,0.115,0.909
"FINANCIALMANB_preMissing",17.134,1135.053,0.015,0.988
"ECONACTIVITYB_pre2",-0.254,0.476,-0.533,0.594
"ECONACTIVITYB_pre3",-13.985,1484.544,-0.009,0.992
"ECONACTIVITYB_pre4",0.46,1.615,0.285,0.776
"ECONACTIVITYB_pre5",-0.547,0.824,-0.663,0.507
"ECONACTIVITYB_pre6",-0.077,1.344,-0.057,0.954
"ECONACTIVITYB_pre7",-0.564,0.721,-0.783,0.434
"ECONACTIVITYB_pre8",0.346,0.913,0.379,0.705
"ECONACTIVITYB_pre9",1.674,0.838,1.998,0.046
"ECONACTIVITYB_pre10",0.273,0.754,0.362,0.717
"NUMROOMS",0.012,0.05,0.245,0.807
"SMOKING_pre2",-0.257,0.203,-1.27,0.204
"SMOKING_pre3",-0.419,0.545,-0.768,0.442
"SMOKING_pre4",-0.329,0.705,-0.466,0.641
"SMOKING_preMissing",-13.934,6522.639,-0.002,0.998
"NUMCIGSPP_pre",0.013,0.037,0.365,0.715
"VAPE_pre2",-0.086,0.378,-0.226,0.821
"VAPE_pre3",0.045,0.639,0.07,0.944
"VAPE_pre4",-0.444,0.628,-0.706,0.48
"VAPE_preMissing",-16.448,2342.644,-0.007,0.994
"ALDRPP_pre2",0.127,0.313,0.406,0.684
"ALDRPP_pre3",-0.046,0.36,-0.127,0.899
"ALDRPP_pre4",-0.376,0.381,-0.985,0.324
"ALDRPP_pre5",-0.634,0.44,-1.442,0.149
